variable,p_value,significant,mean,order
OverallQual,0.0,Yes,133581.05420610312,1
SalePrice,0.0,Yes,99639.7245891794,2
Neighborhood,1.5586002827707996e-225,Yes,66725.19697239478,3
GarageCars,1.1211287650614395e-211,Yes,79829.27323307855,4
ExterQual,1.4395510967787893e-204,Yes,121669.38915205983,5
KitchenQual,3.0322127528402335e-192,Yes,98569.62132799337,6
BsmtQual,9.610615106781709e-186,Yes,94368.33620346557,7
GarageArea,1.0705140248741561e-158,Yes,92365.8992893344,8
FullBath,3.8021879324489406e-129,Yes,94101.92123824185,9
YearBuilt,9.128103646615598e-107,Yes,55775.65749707593,10
TotRmsAbvGrd,1.1917103366526644e-103,Yes,83650.33217731313,11
GarageFinish,1.1991165312294262e-93,Yes,49355.768007411025,12
Foundation,5.791895002232233e-91,Yes,41436.04976381629,13
GrLivArea,1.164973855824709e-90,Yes,87346.43153187892,14
TotalBsmtSF,1.268249225206807e-88,Yes,85734.25914363214,15
Fireplaces,4.4210010307257784e-83,Yes,49699.49122157047,16
MSSubClass,8.66216626609302e-79,Yes,39608.28554601932,17
YearRemodAdd,2.354747702062579e-76,Yes,44083.230623039104,18
GarageYrBlt,9.060901966397488e-73,Yes,46894.836889188955,19
HeatingQC,2.667062092104357e-67,Yes,47021.27695605622,20
GarageType,1.247153670658973e-66,Yes,52136.498187766534,21
BsmtFinType1,1.8077310066862167e-63,Yes,33560.535660835136,22
1stFlrSF,5.610013735031179e-59,Yes,84741.45353416522,23
LotFrontage,1.924844644972402e-58,Yes,82415.14580857295,24
MasVnrArea,2.0158815982450965e-54,Yes,91082.51028473322,25
LotArea,6.590819654787778e-50,Yes,83137.57686541828,26
OpenPorchSF,5.057704418604986e-49,Yes,74938.42320841712,27
SaleCondition,7.988268404991176e-44,Yes,56214.32985797587,28
Exterior1st,2.5860887286376316e-43,Yes,57697.23730971547,29
Exterior2nd,4.8421856706985465e-43,Yes,55551.545318812765,30
BsmtExposure,1.022670629183227e-42,Yes,38619.189314763804,31
SaleType,5.039766889462451e-42,Yes,57043.871450256964,32
OverallCond,7.962288819950615e-38,Yes,47836.7635842899,33
WoodDeckSF,2.9149019687652905e-35,Yes,85262.87167107848,34
MSZoning,8.817633866272648e-35,Yes,55553.079609389766,35
HalfBath,1.6091449454034875e-31,Yes,29122.68100867461,36
BsmtFinSF1,1.4799695510404776e-26,Yes,87302.65503642654,37
HouseStyle,3.376776535121222e-25,Yes,37070.062957640155,38
LotShape,6.447523852011766e-25,Yes,31330.20414148322,39
CentralAir,1.8095061559267854e-22,Yes,57220.94481268347,40
2ndFlrSF,2.2227734551452764e-20,Yes,89406.60342289075,41
FireplaceQu,5.016300447019087e-19,Yes,78740.9776704382,42
Electrical,1.6632487814737638e-18,Yes,44365.325186533875,43
PavedDrive,1.803568890651533e-18,Yes,37245.669294831474,44
BsmtFullBath,2.88243552729416e-17,Yes,21671.146192176922,45
RoofStyle,3.653523047099125e-17,Yes,28986.540166805138,46
BedroomAbvGr,3.3043196450461637e-16,Yes,27779.659543885584,47
MasVnrType,2.0105801004591816e-13,Yes,59637.20893525185,48
BldgType,2.0567364604967015e-10,Yes,28223.53938111423,49
loPoolArea,2.341047098544491e-09,Yes,194550.55055437755,50
logPoolArea,2.341047098544491e-09,Yes,194550.55055437755,51
PoolArea,2.341047098544491e-09,Yes,194550.55055437755,52
BsmtCond,5.136900937703027e-09,Yes,66570.54138788905,53
BsmtUnfSF,1.636106323470491e-08,Yes,75797.63426619886,54
LandContour,2.7422167521379096e-08,Yes,37446.42801499304,55
Alley,4.899826166771113e-08,Yes,32372.412897123428,56
RoofMatl,7.231444779987188e-08,Yes,79783.31875367755,57
Condition1,8.904549416138853e-08,Yes,34809.44001062605,58
GarageQual,1.2408026478015653e-07,Yes,60034.93485730415,59
GarageCond,1.3097143055289643e-07,Yes,37859.27246487385,60
ExterCond,5.106680608671862e-07,Yes,54186.48861261842,61
KitchenAbvGr,2.011735142857873e-06,Yes,31781.750788763893,62
LotConfig,3.163167473604189e-06,Yes,21230.49503134466,63
Functional,0.0004841696801078294,Yes,31265.493355212217,64
Heating,0.000753472106445497,Yes,47083.101517328774,65
Fence,0.002312645635631918,Yes,19802.859105191,66
BsmtFinType2,0.019410089690234594,Yes,20643.011278737336,67
ScreenPorch,0.03675859519308583,Yes,75569.80930170714,68
Condition2,0.043425658360948464,Yes,84325.71712728041,69
MiscFeature,0.10472761568792907,No,64500.72543701764,70
EnclosedPorch,0.11421764338630597,No,60552.4170664751,71
Street,0.11704860406782483,No,36020.04666746649,72
LandSlope,0.1413963584114019,No,12492.54232664476,73
LowQualFinSF,0.25565603616955446,No,80145.20022726631,74
PoolQC,0.30398528011207915,No,162523.09076969136,75
3SsnPorch,0.4102855100523331,No,71887.77625855748,76
MiscVal,0.4736397759420298,No,56729.244544204645,77
MoSold,0.48335232989243127,No,7295.660045509667,78
Utilities,0.5847167739689381,No,30724.466216281693,79
YrSold,0.6300887663573457,No,3734.1340454262104,80
BsmtHalfBath,0.8013743052059724,No,10600.0556347497,81
BsmtFinSF2,0.9999972088425945,No,53711.34039340527,82
Id,,No,79442.50288288662,83
